[Thu Sep 06 11:38:11.616985 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.617024 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.617037 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.617047 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.617057 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.619699 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.619733 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.619744 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.619752 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.619761 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.622156 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.622194 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.622208 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
